0,1,2,3,4,5,6,7
class,fileName,height,width,xmax,xmin,ymax,ymin
bb8,BB-8_1.xml,512,288,208,46,512,15
bb8,BB-8_2.xml,432,634,401,196,425,143
bb8,BB-8_3.xml,480,480,443,23,480,155
bb8,BB-8_4.xml,480,480,480,18,479,1
bb8,BB-8_5.xml,332,800,442,332,332,208
bb8,BB-8_6.xml,332,800,174,1,280,13
bb8,BB-8_7.xml,619,1100,1100,632,572,219
bb8,BB-8_8.xml,332,800,541,116,332,43
bb8,BB-8_9.xml,768,1366,1010,1,768,63
bb8,BB-8_10.xml,683,1024,696,354,622,168
bb8,BB-8_11.xml,402,634,257,144,385,233
bb8,BB-8_12.xml,357,634,331,160,266,47
bb8,BB-8_13.xml,844,556,298,22,567,221
bb8,BB-8_14.xml,807,640,231,6,774,461
bb8,BB-8_15.xml,660,1024,754,449,547,203
bb8,BB-8_16.xml,450,450,277,61,450,34
bb8,BB-8_17.xml,661,500,500,181,660,291
bb8,BB-8_18.xml,321,635,418,220,283,29
bb8,BB-8_19.xml,380,655,626,102,380,18
bb8,BB-8_20.xml,485,700,519,219,485,88
bb8,BB-8_21.xml,380,655,640,123,380,31
bb8,BB-8_22.xml,354,500,327,126,335,70
bb8,BB-8_23.xml,724,782,782,122,702,211
bb8,BB-8_24.xml,821,462,394,26,631,127
bb8,BB-8_25.xml,447,600,440,144,447,63
bb8,BB-8_26.xml,500,500,391,90,469,59
bb8,BB-8_27.xml,525,700,680,20,525,73
bb8,BB-8_28.xml,800,800,625,224,652,126
bb8,BB-8_29.xml,400,400,391,38,400,69
bb8,BB-8_30.xml,600,900,591,461,576,105
bb8,BB-8_31.xml,470,900,568,329,470,183
bb8,BB-8_32.xml,379,637,248,136,374,228
bb8,BB-8_33.xml,371,660,660,147,370,1
bb8,BB-8_34.xml,389,625,509,144,388,24
bb8,BB-8_35.xml,470,900,752,311,470,62
bb8,BB-8_36.xml,396,704,509,164,396,18
bb8,BB-8_37.xml,611,600,466,215,591,252
